,Фактор1,Фактор2,Фактор3,Фактор4,Фактор5,Фактор6
fulltime,-0.01576889144559435,-0.02091269260363171,0.01919993208146695,0.033007944338983485,-0.00806212294683672,0.09880308445513519
openglasha,0.032154072446214384,-0.04185743684566841,0.03297497508992844,0.0364318251827079,-0.011818759461817914,0.15774387463171846
notion,0.018804168269018817,0.015600239202602102,-0.08726679192721576,0.04617285263041247,0.014875304310272832,0.10299836309670944
savepictureN,-0.19089001595530192,0.36498699018842884,0.006270509455016324,0.8287407684100115,0.02568174203680802,-0.09788723429347002
picturechooseN,-0.10062771912056229,1.0000809479734158,0.048317328080001984,0.06898893464294731,-0.07620342009305751,-0.08970427318842446
savepicture_n_actions,0.1676727671960813,0.3687523127275007,0.02743264839697835,0.7623590949914629,0.04327609236072155,0.036595870963847886
savepicture_n_repeats,-0.029429154415985235,-0.15326654402531503,0.02585498509356366,0.539856596593193,-0.0005752975377876584,0.055724603185554486
picturechoose_n_actions,0.20637197388709175,0.8573171376674378,0.06341507891244223,0.040137602956822636,-0.03690753671613182,0.03175961273143105
picturechoosedelete_n_actions,0.05497733527053871,-0.014741616070498322,-0.05564992211991677,0.06873144189382803,0.9912907273849373,-0.016765314933373496
picturechoosedelete_n_repeats,0.03273440462798382,-0.08895247215899349,-0.07006403895278326,0.002902609865345787,0.6506842983904404,-0.012778153201472568
citationcode_n_actions,0.05620605580526252,0.05245757924925291,0.9654349085364605,0.04229119241492894,0.03442887264437268,0.05233429342669914
citationcode_n_repeats,-0.04961842720052364,0.029570318415034984,0.145474904695799,-0.01575250700789759,0.2516132740061302,-0.004177034177536248
citation_n_sources,0.0927786803832621,0.059563962572169254,0.9147925868805183,0.050823321175193316,-0.05969408841137759,0.05135284817597341
copymail_has_correct_email,0.7596264502098509,0.04792448846267758,0.09500821858120366,-0.1157722666900061,0.01615738533026182,0.18439711451345864
copymail_is_exact_email,-0.04270093244443692,0.14089215158141644,-0.033676622503975115,-0.25840653580969336,0.023971994189860495,0.692451472081137
copymail_len,0.9750182425990926,-0.11306741095443391,-0.01287105352280374,0.12091901535167171,-0.013061841084263363,-0.5236226092210197
copymail_is_empty,-0.7943332693560874,-0.07644902067358172,-0.03409062392408717,0.1088828321007319,-0.030707048859867365,-0.1921413661189707
