GGlevel,__MISSING__,Закрытое,Открытое
0,0.057736720554272515,0.3302540415704388,0.6120092378752887
1,0.009602194787379973,0.6131687242798354,0.3772290809327846
2,0.0025380710659898475,0.7931472081218274,0.20431472081218274
3,0.0,0.8830022075055187,0.11699779249448124
