,ось,rho_GGlevel,rho_GGfscore
0,Ось1,-0.31588548903211805,-0.3327234318064776
1,Ось2,-0.6784948078191846,-0.7030785729083291
2,Ось3,-0.05534359834425206,-0.05419803016639679
3,Ось4,-0.20821066311120437,-0.21085003353330437
4,Ось5,0.0100715240111253,0.01413248557990309
5,Ось6,0.06259120602778694,0.05858441264992955
